name,type,value,date,fName,lName,birth,country
Navratilova,1,280.0,1986-12-22,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1986-12-22,Chris,Evert,19541221.0,USA
Graf,3,201.0,1986-12-22,Steffi,Graf,19690614.0,GER
Mandlikova,4,120.0,1986-12-22,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1986-12-22,Pam,Shriver,19620704.0,USA
Sukova,6,105.0,1986-12-22,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,77.0,1986-12-22,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,66.0,1986-12-22,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,9,62.0,1986-12-22,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,10,60.0,1986-12-22,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,280.0,1986-12-29,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1986-12-29,Chris,Evert,19541221.0,USA
Graf,3,201.0,1986-12-29,Steffi,Graf,19690614.0,GER
Mandlikova,4,120.0,1986-12-29,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1986-12-29,Pam,Shriver,19620704.0,USA
Sukova,6,105.0,1986-12-29,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,77.0,1986-12-29,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,66.0,1986-12-29,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,9,62.0,1986-12-29,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,10,60.0,1986-12-29,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,280.0,1987-01-01,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1987-01-01,Chris,Evert,19541221.0,USA
Graf,3,201.0,1987-01-01,Steffi,Graf,19690614.0,GER
Mandlikova,4,120.0,1987-01-01,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1987-01-01,Pam,Shriver,19620704.0,USA
Sukova,6,105.0,1987-01-01,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,77.0,1987-01-01,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,66.0,1987-01-01,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,9,62.0,1987-01-01,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,10,60.0,1987-01-01,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,280.0,1987-01-05,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1987-01-05,Chris,Evert,19541221.0,USA
Graf,3,201.0,1987-01-05,Steffi,Graf,19690614.0,GER
Mandlikova,4,126.0,1987-01-05,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1987-01-05,Pam,Shriver,19620704.0,USA
