fName,lName,country,birth
Martina,Navratilova,USA,19561018.0
Steffi,Graf,GER,19690614.0
Monica,Seles,USA,19731202.0
Arantxa,Sanchez Vicario,ESP,19711218.0
Martina,Hingis,SUI,19800930.0
Lindsay,Davenport,USA,19760608.0
Jennifer,Capriati,USA,19760329.0
Venus,Williams,USA,19800617.0
Serena,Williams,USA,19810926.0
Kim,Clijsters,BEL,19830608.0
Justine,Henin,BEL,19820601.0
Amelie,Mauresmo,FRA,19790705.0
Maria,Sharapova,RUS,19870419.0
Ana,Ivanovic,SRB,19871106.0
Jelena,Jankovic,SRB,19850228.0
Dinara,Safina,RUS,19860427.0
Caroline,Wozniacki,DEN,19900711.0
Victoria,Azarenka,BLR,19890731.0
Angelique,Kerber,GER,19880118.0
Karolina,Pliskova,CZE,19920321.0
Garbine,Muguruza,ESP,19931008.0
Simona,Halep,ROU,19910927.0
